,SYMBOL,01-FEB-2021,02-FEB-2021,03-FEB-2021,04-JAN-2021,05-JAN-2021,06-JAN-2021,07-JAN-2021,08-JAN-2021,11-JAN-2021,12-JAN-2021,13-JAN-2021,14-JAN-2021,15-JAN-2021,18-JAN-2021,19-JAN-2021,20-JAN-2021,21-JAN-2021,22-JAN-2021,25-JAN-2021,27-JAN-2021,28-JAN-2021,29-JAN-2021
11,HDFCBANK,0.3917,0.3974,0.3955,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3840,0.3840,0.3840,0.3821,0.3821,0.3802,0.3821,0.3802,0.3840,0.3840,0.3840
12,HAVELLS,0.4604,0.4681,0.4662,0.4069,0.4069,0.4069,0.4069,0.4088,0.4088,0.4069,0.4069,0.4050,0.4050,0.4050,0.4050,0.4050,0.4280,0.4260,0.4260,0.4241,0.4318,0.4604
13,HINDALCO,0.6018,0.6037,0.6037,0.6056,0.6037,0.6037,0.6075,0.6056,0.6037,0.6037,0.6018,0.5999,0.5999,0.6018,0.6018,0.5999,0.5980,0.5999,0.5980,0.5980,0.5980,0.5961
14,DLF,0.6343,0.6362,0.6343,0.6266,0.6247,0.6228,0.6228,0.6209,0.6190,0.6266,0.6286,0.6266,0.6266,0.6247,0.6247,0.6247,0.6228,0.6247,0.6228,0.6247,0.6228,0.6228
15,LT,0.4184,0.4222,0.4222,0.4165,0.4165,0.4146,0.4146,0.4146,0.4146,0.4127,0.4127,0.4127,0.4108,0.4108,0.4108,0.4108,0.4088,0.4088,0.4069,0.4069,0.4050,0.4050
16,BANDHANBNK,0.7909,0.7909,0.7890,0.8043,0.8024,0.8005,0.7986,0.7986,0.7967,0.7967,0.7967,0.7948,0.7929,0.7929,0.7909,0.7890,0.7909,0.7967,0.7948,0.7929,0.7929,0.7909
17,ACC,0.3802,0.3840,0.3840,0.3802,0.3783,0.3783,0.3783,0.3802,0.3802,0.3783,0.3783,0.3764,0.3783,0.3783,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.3745,0.3745
18,LUPIN,0.4413,0.4432,0.4432,0.4432,0.4413,0.4432,0.4432,0.4432,0.4451,0.4432,0.4432,0.4432,0.4432,0.4432,0.4432,0.4432,0.4432,0.4413,0.4394,0.4394,0.4394,0.4413
19,BPCL,0.5349,0.5368,0.5368,0.5521,0.5502,0.5483,0.5483,0.5464,0.5464,0.5445,0.5445,0.5445,0.5445,0.5426,0.5426,0.5407,0.5407,0.5407,0.5388,0.5388,0.5368,0.5368
20,IGL,0.4604,0.4623,0.4623,0.4585,0.4585,0.4623,0.4604,0.4604,0.4585,0.4585,0.4566,0.4566,0.4585,0.4585,0.4604,0.4585,0.4623,0.4623,0.4604,0.4604,0.4585,0.4604
21,BIOCON,0.6056,0.6056,0.6056,0.6075,0.6056,0.6037,0.6037,0.6018,0.6018,0.5999,0.5980,0.5980,0.5961,0.5961,0.5942,0.5923,0.5923,0.6094,0.6094,0.6094,0.6075,0.6056
22,BHARTIARTL,0.4662,0.4681,0.4681,0.4700,0.4681,0.4681,0.4700,0.4681,0.4681,0.4681,0.4681,0.4681,0.4700,0.4700,0.4681,0.4681,0.4681,0.4662,0.4643,0.4643,0.4643,0.4643
23,MARUTI,0.4662,0.4662,0.4662,0.4662,0.4643,0.4643,0.4623,0.4681,0.4681,0.4662,0.4662,0.4643,0.4643,0.4643,0.4623,0.4643,0.4623,0.4604,0.4604,0.4604,0.4604,0.4643
24,KOTAKBANK,0.4834,0.4834,0.4814,0.4948,0.4929,0.4929,0.4910,0.4891,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853,0.4853,0.4834,0.4814,0.4814,0.4814,0.4795,0.4795,0.4795
25,IOC,0.3993,0.4012,0.4012,0.4050,0.4031,0.4031,0.4031,0.4012,0.4012,0.4012,0.4012,0.4012,0.4012,0.4031,0.4012,0.4012,0.4012,0.3993,0.3993,0.3993,0.3993,0.3993
26,INDUSTOWER,0.6820,0.6820,0.6801,0.7012,0.7031,0.7012,0.7012,0.6992,0.6992,0.6973,0.6954,0.6935,0.6935,0.6916,0.6897,0.6878,0.6878,0.6859,0.6859,0.6840,0.6820,0.6820
27,SUNPHARMA,0.4260,0.4280,0.4280,0.4318,0.4299,0.4299,0.4280,0.4299,0.4280,0.4280,0.4260,0.4260,0.4241,0.4280,0.4280,0.4260,0.4260,0.4260,0.4260,0.4260,0.4241,0.4280
28,M&M,0.4891,0.4891,0.4891,0.4910,0.4891,0.4891,0.4872,0.4891,0.4891,0.4872,0.4929,0.4910,0.4910,0.4891,0.4891,0.4872,0.4872,0.4872,0.4853,0.4853,0.4853,0.4853
29,HDFC,0.4834,0.4834,0.4814,0.4757,0.4776,0.4757,0.4738,0.4738,0.4738,0.4738,0.4738,0.4719,0.4719,0.4719,0.4738,0.4719,0.4719,0.4719,0.4719,0.4719,0.4719,0.4719
30,POWERGRID,0.3554,0.3573,0.3649,0.3554,0.3534,0.3573,0.3573,0.3592,0.3573,0.3573,0.3554,0.3554,0.3534,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3554,0.3554
31,HCLTECH,0.4356,0.4356,0.4356,0.4337,0.4337,0.4337,0.4318,0.4337,0.4394,0.4394,0.4375,0.4375,0.4394,0.4394,0.4375,0.4375,0.4356,0.4356,0.4375,0.4375,0.4375,0.4356
32,CADILAHC,0.4260,0.4260,0.4260,0.4318,0.4299,0.4299,0.4280,0.4260,0.4260,0.4260,0.4241,0.4260,0.4260,0.4280,0.4280,0.4280,0.4280,0.4280,0.4280,0.4280,0.4260,0.4260
33,LTI,0.5082,0.5063,0.5139,0.4948,0.5025,0.5063,0.5044,0.5082,0.5101,0.5082,0.5082,0.5082,0.5063,0.5139,0.5139,0.5120,0.5120,0.5120,0.5101,0.5101,0.5101,0.5082
34,NTPC,0.3840,0.3840,0.3840,0.3840,0.3840,0.3821,0.3821,0.3840,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.3802,0.3821
35,ONGC,0.5388,0.5388,0.5368,0.5464,0.5464,0.5464,0.5445,0.5445,0.5445,0.5426,0.5407,0.5407,0.5407,0.5426,0.5426,0.5407,0.5426,0.5426,0.5407,0.5407,0.5388,0.5388
36,PETRONET,0.4222,0.4222,0.4222,0.4222,0.4222,0.4203,0.4203,0.4222,0.4203,0.4203,0.4184,0.4184,0.4184,0.4260,0.4260,0.4260,0.4241,0.4241,0.4241,0.4222,0.4222,0.4222
37,MOTHERSUMI,0.6859,0.6859,0.6840,0.7088,0.7069,0.7050,0.7031,0.7012,0.6992,0.6992,0.6973,0.6954,0.6935,0.6935,0.6935,0.6916,0.6897,0.6878,0.6878,0.6859,0.6840,0.6840
38,GAIL,0.4853,0.4853,0.4834,0.4929,0.4929,0.4929,0.4929,0.4910,0.4910,0.4929,0.4910,0.4910,0.4929,0.4910,0.4910,0.4891,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853
39,PFC,0.5082,0.5082,0.5120,0.5177,0.5158,0.5139,0.5139,0.5120,0.5120,0.5101,0.5082,0.5082,0.5063,0.5082,0.5082,0.5082,0.5082,0.5082,0.5063,0.5063,0.5044,0.5044
40,PIDILITIND,0.3764,0.3764,0.3764,0.3802,0.3802,0.3783,0.3783,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3764,0.3745,0.3764
41,CIPLA,0.4127,0.4127,0.4146,0.4203,0.4203,0.4184,0.4184,0.4165,0.4165,0.4165,0.4146,0.4146,0.4146,0.4146,0.4146,0.4146,0.4146,0.4146,0.4146,0.4146,0.4127,0.4127
42,ICICIBANK,0.5674,0.5655,0.5655,0.5636,0.5617,0.5598,0.5598,0.5579,0.5560,0.5560,0.5540,0.5521,0.5521,0.5521,0.5502,0.5502,0.5483,0.5483,0.5483,0.5483,0.5464,0.5464
43,ICICIGI,0.4853,0.4834,0.4853,0.4910,0.4910,0.4891,0.4891,0.4891,0.4872,0.4891,0.4872,0.4853,0.4853,0.4834,0.4834,0.4814,0.4814,0.4814,0.4795,0.4814,0.4814,0.4834
44,DIVISLAB,0.4031,0.4031,0.4050,0.4127,0.4108,0.4108,0.4108,0.4108,0.4088,0.4088,0.4088,0.4069,0.4069,0.4069,0.4069,0.4050,0.4050,0.4031,0.4031,0.4031,0.4031,0.4031
45,COALINDIA,0.4069,0.4069,0.4088,0.4088,0.4088,0.4069,0.4069,0.4069,0.4069,0.4088,0.4069,0.4069,0.4069,0.4088,0.4069,0.4069,0.4069,0.4088,0.4069,0.4069,0.4069,0.4069
46,BAJFINANCE,0.6324,0.6305,0.6286,0.6438,0.6419,0.6419,0.6400,0.6381,0.6381,0.6362,0.6362,0.6343,0.6324,0.6324,0.6343,0.6324,0.6324,0.6324,0.6305,0.6286,0.6286,0.6266
47,EICHERMOT,0.4814,0.4814,0.4795,0.4910,0.4891,0.4872,0.4872,0.4891,0.4872,0.4891,0.4872,0.4872,0.4853,0.4853,0.4834,0.4814,0.4814,0.4814,0.4814,0.4814,0.4814,0.4795
48,HINDPETRO,0.5388,0.5368,0.5368,0.5579,0.5579,0.5560,0.5540,0.5540,0.5521,0.5502,0.5502,0.5502,0.5483,0.5483,0.5464,0.5445,0.5445,0.5426,0.5426,0.5407,0.5407,0.5407
49,BAJAJ-AUTO,0.4108,0.4088,0.4088,0.3955,0.3955,0.3936,0.3936,0.3936,0.3936,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.4108,0.4108,0.4088,0.4088,0.4088
50,RELIANCE,0.4643,0.4643,0.4623,0.4681,0.4662,0.4662,0.4662,0.4643,0.4643,0.4643,0.4643,0.4623,0.4623,0.4623,0.4623,0.4604,0.4604,0.4604,0.4662,0.4662,0.4643,0.4643
51,JSWSTEEL,0.5292,0.5292,0.5273,0.5407,0.5407,0.5388,0.5368,0.5368,0.5349,0.5330,0.5330,0.5311,0.5311,0.5311,0.5311,0.5292,0.5292,0.5311,0.5311,0.5311,0.5292,0.5292
52,ADANITRANS,0.6037,0.6037,0.6018,0.6037,0.6037,0.6037,0.6018,0.5999,0.5999,0.5980,0.5961,0.5961,0.5942,0.5999,0.5999,0.6094,0.6094,0.6075,0.6056,0.6056,0.6037,0.6018
53,BOSCHLTD,0.4814,0.4795,0.4795,0.4776,0.4757,0.4757,0.4776,0.4757,0.4757,0.4795,0.4776,0.4757,0.4757,0.4738,0.4776,0.4795,0.4795,0.4776,0.4776,0.4757,0.4757,0.4757
54,ADANIPORTS,0.4738,0.4738,0.4719,0.4700,0.4681,0.4662,0.4681,0.4662,0.4662,0.4662,0.4681,0.4681,0.4662,0.4662,0.4681,0.4719,0.4700,0.4700,0.4700,0.4700,0.4681,0.4681
55,NMDC,0.5445,0.5426,0.5407,0.5464,0.5464,0.5445,0.5464,0.5445,0.5445,0.5445,0.5426,0.5407,0.5407,0.5445,0.5445,0.5426,0.5445,0.5464,0.5445,0.5445,0.5445,0.5426
56,TORNTPHARM,0.4241,0.4241,0.4260,0.4318,0.4299,0.4299,0.4280,0.4280,0.4280,0.4260,0.4260,0.4260,0.4260,0.4260,0.4280,0.4280,0.4260,0.4260,0.4260,0.4260,0.4241,0.4241
57,DMART,0.4375,0.4375,0.4375,0.4299,0.4299,0.4318,0.4299,0.4299,0.4280,0.4280,0.4280,0.4260,0.4280,0.4280,0.4260,0.4260,0.4260,0.4299,0.4299,0.4280,0.4280,0.4318
58,BAJAJHLDNG,0.4929,0.4910,0.4910,0.5139,0.5120,0.5101,0.5101,0.5082,0.5063,0.5063,0.5044,0.5044,0.5025,0.5006,0.5006,0.4986,0.4986,0.4967,0.4967,0.4948,0.4948,0.4929
59,MARICO,0.2770,0.2770,0.2770,0.2847,0.2828,0.2828,0.2808,0.2828,0.2828,0.2828,0.2808,0.2808,0.2808,0.2808,0.2808,0.2789,0.2789,0.2789,0.2789,0.2789,0.2770,0.2770
60,TCS,0.3687,0.3706,0.3687,0.3764,0.3764,0.3764,0.3745,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3706
61,TECHM,0.4413,0.4413,0.4413,0.4432,0.4432,0.4413,0.4413,0.4451,0.4451,0.4451,0.4432,0.4432,0.4471,0.4451,0.4432,0.4451,0.4432,0.4432,0.4432,0.4432,0.4432,0.4432
62,MCDOWELL-N,0.4260,0.4260,0.4241,0.4203,0.4203,0.4184,0.4222,0.4241,0.4222,0.4222,0.4203,0.4203,0.4184,0.4184,0.4165,0.4165,0.4165,0.4146,0.4146,0.4146,0.4280,0.4280
63,WIPRO,0.4299,0.4299,0.4280,0.4260,0.4260,0.4241,0.4241,0.4299,0.4318,0.4318,0.4299,0.4299,0.4318,0.4299,0.4299,0.4318,0.4299,0.4280,0.4280,0.4280,0.4299,0.4299
64,DRREDDY,0.3668,0.3668,0.3687,0.3630,0.3630,0.3611,0.3611,0.3611,0.3592,0.3592,0.3592,0.3573,0.3573,0.3592,0.3592,0.3573,0.3573,0.3554,0.3554,0.3573,0.3573,0.3649
65,AXISBANK,0.6457,0.6438,0.6438,0.6496,0.6534,0.6515,0.6515,0.6496,0.6477,0.6457,0.6457,0.6438,0.6419,0.6419,0.6400,0.6400,0.6381,0.6400,0.6381,0.6400,0.6419,0.6419
66,MUTHOOTFIN,0.5598,0.5579,0.5560,0.5693,0.5712,0.5693,0.5674,0.5674,0.5655,0.5636,0.5636,0.5636,0.5636,0.5636,0.5636,0.5617,0.5617,0.5598,0.5598,0.5598,0.5579,0.5579
67,INFY,0.4203,0.4203,0.4184,0.4241,0.4241,0.4222,0.4222,0.4241,0.4280,0.4260,0.4260,0.4260,0.4241,0.4260,0.4241,0.4241,0.4222,0.4222,0.4203,0.4203,0.4203,0.4203
68,ITC,0.3840,0.3840,0.3840,0.3840,0.3840,0.3840,0.3840,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3764
69,COLPAL,0.3592,0.3592,0.3592,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.3630,0.3630,0.3630,0.3611,0.3611,0.3611,0.3592,0.3611
70,BANKBARODA,0.6209,0.6209,0.6209,0.5903,0.5884,0.5865,0.5865,0.5846,0.5846,0.5961,0.6018,0.5999,0.5980,0.5980,0.5980,0.5999,0.6018,0.6018,0.6018,0.5999,0.6152,0.6133
71,HINDZINC,0.4853,0.4853,0.4834,0.4222,0.4260,0.4356,0.4604,0.4604,0.4623,0.4604,0.4604,0.4604,0.4585,0.4585,0.4795,0.4795,0.4814,0.4814,0.4814,0.4814,0.4795,0.4814
72,ADANIGREEN,0.6572,0.6553,0.6534,0.6668,0.6649,0.6629,0.6649,0.6649,0.6668,0.6687,0.6668,0.6687,0.6668,0.6649,0.6668,0.6668,0.6649,0.6629,0.6629,0.6610,0.6591,0.6591
73,TATASTEEL,0.5407,0.5388,0.5388,0.5368,0.5368,0.5349,0.5388,0.5368,0.5368,0.5368,0.5349,0.5349,0.5330,0.5368,0.5368,0.5349,0.5368,0.5368,0.5349,0.5368,0.5349,0.5368
74,PNB,0.5693,0.5674,0.5712,0.5731,0.5731,0.5712,0.5693,0.5674,0.5674,0.5693,0.5674,0.5655,0.5655,0.5655,0.5655,0.5636,0.5655,0.5655,0.5636,0.5636,0.5636,0.5617
75,OFSS,0.4146,0.4146,0.4127,0.4260,0.4260,0.4260,0.4241,0.4241,0.4222,0.4241,0.4222,0.4222,0.4222,0.4222,0.4222,0.4203,0.4184,0.4184,0.4165,0.4165,0.4165,0.4165
76,ASIANPAINT,0.3859,0.3859,0.3840,0.3840,0.3821,0.3821,0.3802,0.3802,0.3802,0.3840,0.3821,0.3821,0.3840,0.3821,0.3821,0.3821,0.3821,0.3859,0.3878,0.3878,0.3878,0.3878
77,HDFCAMC,0.4547,0.4547,0.4528,0.4623,0.4623,0.4604,0.4604,0.4604,0.4585,0.4585,0.4566,0.4566,0.4566,0.4566,0.4547,0.4547,0.4547,0.4547,0.4585,0.4566,0.4566,0.4547
78,CONCOR,0.4872,0.4853,0.4853,0.4929,0.4910,0.4929,0.4929,0.4929,0.4910,0.4910,0.4891,0.4891,0.4910,0.4891,0.4891,0.4891,0.4872,0.4872,0.4853,0.4872,0.4853,0.4834
79,NESTLEIND,0.3649,0.3630,0.3630,0.3764,0.3764,0.3745,0.3745,0.3745,0.3725,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649
80,BERGEPAINT,0.3897,0.3878,0.3878,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3859,0.3840,0.3840,0.3859,0.3878,0.3878,0.3878,0.3897
81,INDUSINDBK,0.8444,0.8425,0.8464,0.8502,0.8483,0.8464,0.8444,0.8425,0.8406,0.8387,0.8368,0.8349,0.8330,0.8330,0.8311,0.8292,0.8272,0.8272,0.8272,0.8272,0.8253,0.8272
82,UBL,0.4165,0.4146,0.4146,0.4241,0.4222,0.4241,0.4241,0.4222,0.4222,0.4222,0.4222,0.4203,0.4203,0.4203,0.4184,0.4184,0.4165,0.4165,0.4146,0.4184,0.4165,0.4165
83,AUROPHARMA,0.5999,0.5999,0.5980,0.6075,0.6075,0.6056,0.6037,0.6037,0.6018,0.5999,0.5999,0.5980,0.5980,0.5961,0.5942,0.5942,0.5942,0.5923,0.5999,0.6018,0.5999,0.6018
84,DABUR,0.2923,0.2904,0.2904,0.2961,0.2961,0.2961,0.2961,0.2942,0.2942,0.2942,0.2942,0.2942,0.2942,0.2942,0.2942,0.2923,0.2923,0.2923,0.2904,0.2904,0.2904,0.2904
85,SBICARD,0.4012,0.3993,0.3993,0.3917,0.3917,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3936,0.3936,0.3974,0.3974,0.4031,0.4012,0.4012
86,BRITANNIA,0.3993,0.3974,0.3974,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.4088,0.4088,0.4069,0.4069,0.4050,0.4050,0.4031,0.4031,0.4012,0.4012,0.3993,0.3993,0.3993
87,GICRE,0.5254,0.5235,0.5235,0.5388,0.5388,0.5368,0.5368,0.5349,0.5349,0.5330,0.5330,0.5311,0.5311,0.5311,0.5292,0.5273,0.5273,0.5273,0.5254,0.5254,0.5235,0.5216
88,GODREJCP,0.3821,0.3821,0.3802,0.3878,0.3878,0.3878,0.3859,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3840,0.3840,0.3840,0.3821,0.3821,0.3802,0.3802,0.3802,0.3821
89,INDIGO,0.5388,0.5388,0.5368,0.5464,0.5445,0.5445,0.5426,0.5426,0.5407,0.5407,0.5407,0.5388,0.5388,0.5388,0.5407,0.5388,0.5368,0.5368,0.5368,0.5368,0.5349,0.5349
90,TITAN,0.4451,0.4451,0.4451,0.4509,0.4509,0.4490,0.4490,0.4471,0.4471,0.4471,0.4471,0.4451,0.4451,0.4432,0.4432,0.4413,0.4413,0.4413,0.4394,0.4413,0.4413,0.4413
91,SBILIFE,0.4375,0.4356,0.4356,0.4509,0.4509,0.4490,0.4490,0.4490,0.4471,0.4471,0.4451,0.4451,0.4432,0.4432,0.4432,0.4413,0.4413,0.4413,0.4394,0.4394,0.4394,0.4375
92,HINDUNILVR,0.3420,0.3420,0.3401,0.3477,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3439,0.3439,0.3439,0.3439,0.3420,0.3420,0.3420,0.3420,0.3401,0.3439,0.3439
93,ABBOTINDIA,0.3725,0.3725,0.3725,0.3840,0.3840,0.3821,0.3821,0.3821,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.3725
94,PGHH,0.2828,0.2828,0.2847,0.2961,0.2961,0.2942,0.2942,0.2942,0.2923,0.2923,0.2904,0.2904,0.2904,0.2885,0.2885,0.2885,0.2885,0.2866,0.2866,0.2847,0.2847,0.2847
95,TATACONSUM,0.4967,0.4967,0.4948,0.5101,0.5082,0.5082,0.5063,0.5063,0.5063,0.5044,0.5044,0.5025,0.5025,0.5025,0.5006,0.5006,0.4986,0.4986,0.4986,0.4967,0.4967,0.4948
96,ALKEM,0.3611,0.3611,0.3611,0.3725,0.3706,0.3706,0.3687,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.3630,0.3630,0.3630,0.3630,0.3630,0.3611,0.3611
97,HEROMOTOCO,0.4585,0.4585,0.4585,0.4623,0.4604,0.4604,0.4585,0.4604,0.4585,0.4585,0.4566,0.4566,0.4566,0.4547,0.4547,0.4547,0.4528,0.4547,0.4547,0.4566,0.4566,0.4585
98,BAJAJFINSV,0.5961,0.5942,0.5942,0.5903,0.5903,0.5884,0.5865,0.5865,0.5865,0.5846,0.5827,0.5827,0.5808,0.5808,0.5865,0.5846,0.5827,0.5827,0.5808,0.5789,0.5789,0.5789
99,HDFCLIFE,0.4795,0.4795,0.4795,0.4967,0.4967,0.4948,0.4948,0.4948,0.4929,0.4910,0.4910,0.4891,0.4891,0.4872,0.4872,0.4853,0.4834,0.4834,0.4834,0.4814,0.4814,0.4795
100,ICICIPRULI,0.5731,0.5731,0.5731,0.5961,0.5942,0.5923,0.5903,0.5903,0.5903,0.5884,0.5884,0.5865,0.5846,0.5846,0.5827,0.5808,0.5808,0.5789,0.5770,0.5770,0.5751,0.5751
